vessel_id,registry_count,reg_mmsi,reg_flag,reg_name,reg_imo,reg_geartype,reg_owner,ais_mmsi,ais_flag,ais_name,ais_match_fields,ais_msg_count,no_registry,flag_mismatch,name_mismatch,no_match,no_shipname,mmsi_history_count,mmsi_history,parse_error
c766b1fb6-6996-0deb-f589-b53ba1801c1e,0.0,,,,,[],,561092025,WSM,61092-25-99%,NO_MATCH,1926.0,True,False,False,True,False,1.0,['561092025'],
beb678249-9717-2721-c558-6eb2240c7120,0.0,,,,,[],,561981010,WSM,61981-10-84%,NO_MATCH,644.0,True,False,False,True,False,1.0,['561981010'],
9a0fe3ae1-135f-aa37-00e9-9f24db25954a,0.0,,,,,[],,352005245,PAN,SUNNY ORCHID,NO_MATCH,1163991.0,True,False,False,True,False,1.0,['352005245'],
288702ea1-1365-b6f9-94df-6d75fa854265,1.0,416482000,TWN,EVERLOGIC,9604081,['CARGO'],EVERGREEN MARINE,416482000,TWN,EVER LOGIC,SEVERAL_FIELDS,14794267.0,False,False,True,False,False,1.0,['416482000'],
da81c85f1-1b09-4c7a-2fcb-ffea131fd254,0.0,,,,,[],,229911805,MLT,YU 03118-6-99%,NO_MATCH,15902.0,True,False,False,True,False,1.0,['229911805'],
4f4124531-189b-3cb1-9f32-4ffab93c4f02,0.0,,,,,[],,352001222,PAN,ACE WIN,NO_MATCH,2994765.0,True,False,False,True,False,1.0,['352001222'],
4b61697e9-929d-e0e4-2d27-7365ef07e61c,0.0,,,,,[],,231162010,FRO,23116--1093%,NO_MATCH,96.0,True,False,False,True,False,1.0,['231162010'],
583995401-1008-9b8a-ff11-6918fad57c19,0.0,,,,,[],,563219300,SGP,MAERSK KEELUNG,NO_MATCH,2534398.0,True,False,False,True,False,1.0,['563219300'],
3d1dcba30-0264-2515-0b90-071113541a65,0.0,,,,,[],,256088620,MLT,60886-20--99%,NO_MATCH,226.0,True,False,False,True,False,1.0,['256088620'],
742741da9-9f1e-4350-a8d7-a6b88a36d91b,0.0,,,,,[],,233600054,GBR,60866--54-99%,NO_MATCH,3261.0,True,False,False,True,False,1.0,['233600054'],
612e8a347-76fd-bfcb-6f4c-b4d9f2496286,0.0,,,,,[],,563219500,SGP,MU MIAN SONG,NO_MATCH,2475584.0,True,False,False,True,False,1.0,['563219500'],
fe4a67696-6cad-32e1-be66-443c90c634a3,0.0,,,,,[],,641550023,,64155--23--28%,NO_MATCH,40.0,True,False,False,True,False,1.0,['641550023'],
adef522b9-9e35-5318-a840-5c15db9bc877,0.0,,,,,[],,100235833,,02358-33--80%,NO_MATCH,3705.0,True,False,False,True,False,1.0,['100235833'],
a94a5f0ea-a126-d673-aa0b-6ef473798ea8,0.0,,,,,[],,100231031,,02310-31--98%,NO_MATCH,354.0,True,False,False,True,False,1.0,['100231031'],
d1d934acc-ca5c-01d8-b880-4e507c52fd71,0.0,,,,,[],,123000008,,64187-8--99%,NO_MATCH,7302.0,True,False,False,True,False,1.0,['123000008'],
8fbb543da-ae1e-6f71-907d-ac4be35ebc60,0.0,,,,,[],,352003795,PAN,HUI FENG HAI,NO_MATCH,4313419.0,True,False,False,True,False,1.0,['352003795'],
a05314e5b-bd6a-f215-8d32-50870f13cc4c,0.0,,,,,[],,296058102,,YU60581---2 60%,NO_MATCH,2251.0,True,False,False,True,False,1.0,['296058102'],
7d78bc279-971a-9d3f-afe2-0f3ef6a07cdd,1.0,477027700,HKG,PACIFICWEIHAI,9739977,['TANKER'],HAI KUO SHIPPING 1363,477027700,HKG,PACIFIC WEIHAI,SEVERAL_FIELDS,8298949.0,False,False,True,False,False,1.0,['477027700'],
